X,Y,park_name,dpp_asset_id,program_type,site_class,building,gym,label_number,comments,data_source,objectid
-75.1636341891684,40.0538626691218,Awbury Park and Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,1
-75.007510748368,40.1228431723606,Daniel Boyle Memorial Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,2
-75.1698319055517,40.0646864811464,Charles M Finley Playground,,PPR_REC,A,Y,Y,, ,Programs 10/2025,3
-75.1747635378691,40.0022212258065,James Allen Shuler Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,4
-75.1715193626169,39.942118531137,Marian Anderson Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,5
-75.2385660065753,39.9566925841712,Howard Sayre Morris Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,6
-75.1012962526126,39.9864660108404,Frank Glavin Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,7
-75.18509125336,39.9690547668109,East Fairmount Park,,PPR_REC,A,Y,Y,,Located in East Fairmount Park,Programs 10/2025,8
-75.2332425072216,39.995218248513,John C Anderson Cultural Center,,PPR_REC,A,Y,N,,Closed for Rebuild,Programs 10/2025,9
-75.2486170014692,39.9081610266845,William A Cibotti Recreation Center,,PPR_REC,A,Y,N,, ,Programs 10/2025,10
-75.231743194912,39.9152726003795,J Francis Finnegan Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,11
-75.1787581327055,39.9159380001329,Commodore John Barry Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,12
-75.1540698311635,39.9156417382741,Lawrence E Murphy Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,13
-75.1730496072027,39.9228737079018,Thomas I Guerin Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,14
-75.2401917418981,39.9261376815884,John J McCreesh Sr Playground,,PPR_REC,A,Y,N,,,Programs 10/2025,15
-75.1699623851435,39.9291400454533,A Giuseppe DiSilvestro Playground,,PPR_REC,A,Y,N,,Mixed use building with CHOP/Free Library/Public Health/PPR,Programs 10/2025,16
-75.1888629475388,39.9313798785125,George A Vare Recreation Center,,PPR_REC,A,Y,Y,,2024-Rebuild Renovation Complete,Programs 10/2025,17
-75.1643497944261,39.9332542226272,Columbus Square,,PPR_REC,A,Y,N,, ,Programs 10/2025,18
-75.1512140702181,39.9337904557684,Solomon Sacks Playground,,PPR_REC,B,Y,N,, ,Programs 10/2025,19
-75.159482031066,39.9340058665179,Dr Nicola Capitolo Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,20
-75.1929330875739,39.9377462186597,Donald P Finnegan Recreation Center,,PPR_REC,B,Y,N,, ,Programs 10/2025,21
-75.174181002887,39.938168250319,Charles H Chew Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,22
-75.2098082917844,39.9419564779928,48th and Woodland Playground,,PPR_REC,A,Y,N,, ,Programs 10/2025,23
-75.1584878528588,39.9413619390032,Walter Palumbo Recreation Center,,PPR_REC,A,Y,Y,, ,Programs 10/2025,24
-75.217012541149,39.942848458016,Kingsessing Recreation Center,,PPR_REC,A,Y,Y,,Rebuild complete 10/2025,Programs 10/2025,25
-75.2344129706508,39.9488950145933,Albert W Christy Sr Recreation Center,,PPR_REC,A,Y,Y,,,Programs 10/2025,26
