public_name,parent_name,nested,official_name,label,alias,dpp_asset_id,address_911,zip_code,address_brt,alias_address,acreage,property_classification,ppr_use,ppr_prog_district,ppr_ops_district,council_district,police_district,city_scale_maps,local_scale_maps,program_sites,comments,objectid,Shape__Area,Shape__Length
Rail Park,Rail Park,N,The Rail Park,Rail Park,,,1250 NOBLE ST,19123,,1136 CALLOWHILL ST,0.87210895,PATHWAY,GREENWAY,9,5,1,9,,,N,Elevated former railway. ,1,6009.9453125,825.079375938523
Williams Moore Reed Memorial Park,Williams Moore Reed Memorial Park,N,Williams Moore Reed Memorial Park,Williams Moore Reed,11th and Venango Play Lot,,3600 N 11TH ST,19140,3600 N 11TH ST,3600 N 11TH ST,0.9728607,PARK,RECREATION_SITE,8,3,5,25,,,N,"Former School District Site that was acquired by the City/PPR in 2020. Renovation in 2021, name change ordinance approved March 2022. Renovation still happening in 2023.",2,6718.48828125,325.853575897883
Maplewood Mall Plazas,Maplewood Mall Plazas,N,,Maplewood,,,1 W ARMAT ST,19144,"5530-34 GERMANTOWN AVE; 5537-41 GREENE ST","5530-34 GERMANTOWN AVE; 5537-41 GREENE ST; Germantown Ave & W Armat St; Greene St & W Armat St",0.40225666,PATHWAY,SQUARE_PLAZA,4,4,8,14,,,N,Property maintained by Streets and Germantown Special Services District.,3,2781.35546875,310.009261482914
Nicetown Park,Nicetown Park,N,,Nicetown,Nicetown Triangle,,4301 GERMANTOWN AVE,19140,"4327-43 N GRATZ ST;4327R N GRATZ ST;4301-05 GERMANTOWN AVE;4369-71 GERMANTOWN AVE","4327-43 N GRATZ ST;4327R N GRATZ ST;4301-05 GERMANTOWN AVE;4377 GERMANTOWN AVE;4369-71 GERMANTOWN AVE",3.0184954,PARK,NEIGHBORHOOD_PARK,4,4,8,39,,,N,,4,20853.48828125,1283.91736080625
Wissahickon East,Wissahickon East,N,,Wissahickon East,"Nomar; Donation Parcel; Brown-Souza-Jacobs; Conservation Plan",,7530 ANDERSON ST,19119,"315 WOODBROOK LN; 7530 ANDERSON ST","7530 ANDERSON ST; 315 WOODBROOK LN",5.6176792,CONSERVATION,NATURE_AREA,3,4,8,14,,,N,Conservation Easement held by Chestnut Hill Historical Society (2006),5,38866.34375,951.750342571916
Ottinger Tract,Ottinger Tract,N,,Ottinger, ,,7808 NIXON ST,19128,"7808 NIXON ST, 7868 NIXON ST",7868 NIXON ST,4.48293164,CONSERVATION,NATURE_AREA,3,4,4,5,,,N,,6,30993.55078125,1441.50508307938
25th and Dauphin District Headquarters,25th and Dauphin District Headquarters,N,,25th and Dauphin (District HQ),"Maintenance Division;Neighborhood Parks and Construction Unit Headquarters;District 6 Satellite Office",,2501 W SEDGLEY AVE,19132,"2503-09 W SEDGLEY AVE;2200-08 N 25TH ST","2503-09 W SEDGLEY AVE;2200-08 N 25TH ST",0.46464849,OPERATIONAL_INTERNAL,OPERATIONS,8,6,5,22,,,N,,7,3207.2109375,278.243037134425
Sedgely and Fletcher Warehouse,Sedgely and Fletcher Warehouse,N,,Sedgely Warehouse,"Sedgley Storeroom;Maintenance Warehouse;Central Warehouse",,2528 W SEDGLEY AVE,19132,2528-34 W SEDGLEY AVE,"W Sedgley Ave & N 26th St;2528-34 W SEDGLEY AVE",0.77389878,OPERATIONAL_INTERNAL,OPERATIONS,8,6,5,22,,,N,School District land and facility that PPR leases from 1975.,8,5341.65234375,356.17809243458
Bartrams Mile Trail Greenway (56th),Bartrams Mile Trail Greenway,Y,,Bartrams Greenway (56th),"Bartram's Mile; Bartrams South",,3101 S 56TH ST,19143,3101 S 56TH ST,"3101 S 56TH ST;3000 S 56TH ST",2.51777216,PATHWAY,GREENWAY,10,8,3,12,,,N,,9,17346.92578125,1010.07434557986
William H (Billy) Markward Memorial Playground,Schuylkill River Park,Y,William H. (Billy) Markward Memorial Playground,Markward,"OConnor Pool; Joseph O'Connor Memorial Pool",,400 S LECOUNT ST,19146,"400-16 S TANEY ST;338-46 S 26TH ST;300 S 26TH ST;2601-13 SOUTH ST","400-16 S TANEY ST;577 S TANEY ST;Pine & Taney;338-46 S 26TH ST;300 S 26TH ST;2620 Pine St;350 S 26th St;2601-13 SOUTH ST, 26th & South;570 S 26TH ST",3.75279089,PARK,RECREATION_SITE,11,"5;7",2,"9;17",,,Y,Markward site includes the O'Connor Pool,10,25871.45703125,1094.40263230147
