OBJECTID,TRAIL_NAME,TRAIL_SYSTEM,ALIAS,LABEL,TRAIL_ID,TRAIL_TYPE,TRAIL_SURFACE,TRAIL_STATUS,TRAIL_RESTRICTIONS,PEDESTRIAN_ACCESS,BIKE_ACCESS,HORSE_ACCESS,CIRCUIT_TRAIL,ECG_TRAIL,SRT_TRAIL,DRG_TRAIL,MILES,COMMENTS,NMT911_TRAIL,Shape__Length
1,MLK Trail,WEST_FAIRMOUNT,West River Drive Trail,MLK Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,4.18266388,,N,8793.88410741646
2,Lincoln Drive Trail,WISSAHICKON,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.02629129,,N,55.2009010607779
3,Lincoln Drive Trail Boardwalk,WISSAHICKON,,Lincoln Drive Trail Boardwalk,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.0611372,,N,128.668906375696
4,Kelly Drive Trail,EAST_FAIRMOUNT,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,3.6777971,,Y,7732.89339449346
5,Trolley Trail,WEST_FAIRMOUNT,,Trolley Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.20735441,,N,436.192701549042
6,Trolley Trail,WEST_FAIRMOUNT,,Trolley Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.26644582,,N,559.777086500892
7,Boxers Trail,EAST_FAIRMOUNT,,Boxers' Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,1.07511844,,N,2258.32538141419
8,Blue Stone Bridge,WISSAHICKON,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.02871416,,N,60.2719099286625
9,Forbidden Drive,WISSAHICKON,,Forbidden Drive,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.38216987,,N,803.861466889174
10,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.06364841,,N,133.766630977487
11,Minor Trail,COBBS_LOWER,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.19766431,,N,415.240713248863
12,Minor Trail,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.0064574,,N,13.5884290040373
13,Boxers Trail,EAST_FAIRMOUNT,,Boxers' Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.90520942,,N,1900.6429844749
14,Trolley Trail,WEST_FAIRMOUNT,Demo Trail,Trolley Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.12465641,,N,261.912620317085
15,Trolley Trail,WEST_FAIRMOUNT,Demo Trail,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03390184,,N,71.3590893461539
16,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.32039688,,N,673.868422925696
17,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.17741707,,N,373.354692355547
18,Forbidden Drive,WISSAHICKON,,Forbidden Drive,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.17055105,,N,358.204036527572
19,Forbidden Drive,WISSAHICKON,,Forbidden Drive,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.48155967,,N,1013.75544573756
20,Minor Trail,COBBS_LOWER,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.03828088,,N,80.515905143001
21,Minor Trail,COBBS_LOWER,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.14157969,,N,297.439387684374
22,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.07472085,,N,157.225189526466
23,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.19629771,,N,413.565948526933
24,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.34903341,,N,733.899890302144
25,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.30382391,,N,638.704428536302
26,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.54840172,,N,1154.92599671544
27,Minor Trail,WISSAHICKON_CARPENTERS_WOODS,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.06418321,,N,135.087685865985
28,Pennypack Trail,PENNYPACK,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.03597987,,N,75.5939454819025
29,Pennypack Trail,PENNYPACK,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.04352316,,N,91.5634983644956
30,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.28218247,,N,593.233170609052
31,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.53834655,,N,1133.08857356634
32,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.10749578,,N,226.550757806259
33,Tacony Crescentville Loop Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.23575516,,N,496.198879110465
34,Cobbs Creek Trail,COBBS_LOWER,,Cobbs Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.22064514,,N,463.5325227578
35,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.06095653,,N,128.166023744261
36,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.21942063,,N,461.924023390477
