X,Y,OBJECTID,GARDEN_NAME,PARK_NAME,ADDRESS,CITY,STATE,ZIP_CODE,CONTACT_EMAIL,CONTACT_WEBSITE,GARDEN_ALIAS,GARDEN_DESCRIPTION,HOURS_SUNDAY,HOURS_MONDAY,HOURS_TUESDAY,HOURS_WEDNESDAY,HOURS_THURSDAY,HOURS_FRIDAY,HOURS_SATURDAY,GARDEN_STATUS,PPR_LAND,COUNCIL_DISTRICT,COMMENTS
-75.1590730127664,39.923772920048,641,Growing Homes Community Garden,Emily Community Garden,742 Emily St,Philadelphia,PA,19148,gardens@SEAMAAC.org,https://www.seamaac.org/community-development/,Emily Community Garden,Community garden with 101 raised beds.,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,ACTIVE,Y,1,Friends of Growing Home Gardens
-75.1609841676737,39.9446458182682,642,Waverly Street Community Garden,Waverly Street Community Garden,1131 Waverly St,Philadelphia,PA,19147,urbanstewardship@washwestcivic.org,https://washwestcivic.org/community-gardens/, ,Community garden with 22 raised beds. Maintained by Washington Square West Civic Association.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ACTIVE,Y,1,Open when gardeners are present
-75.1510478067445,39.967940643076,643,FNC Community Learning Farm at 8th and Poplar,East Poplar Playground,834 Poplar St,Philadelphia,PA,19123,"brycer@fncphilly.org, bigsci7@gmail.com",N/A,"Urban Agriculture Center; 8th & Poplar Garden; 8th & Poplar Farm",Community garden with 30 raised beds. It is located inside the FNC Learning Farm & 8th & Poplar Streets. Call 215-316-5683 ext. 5 for more info.,8:00am - 12:00pm,8:00am - 12:00pm,8:00am - 12:00pm,8:00am - 12:00pm,8:00am - 12:00pm,8:00am - 12:00pm,8:00am - 12:00pm,ACTIVE,Y,5,FNC (friends group)
-75.1603107050448,39.9476025478492,644,Sartain Community Garden,Sartain Garden,225 S Sartain St,Philadelphia,PA,19107,urbanstewardship@washwestcivic.org,https://washwestcivic.org/community-gardens/, ,"Community garden with 20 raised beds. Maintained by Washington Square West Civic Association.
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,ACTIVE,Y,1,Open when gardeners are present
-75.1563390006147,39.9426199401795,645,South Street Community Garden,South Street Community Garden,839 South St,Philadelphia,PA,19147,urbanstewardship@washwestcivic.org,https://washwestcivic.org/community-gardens/, ,"Community garden with 40 raised beds, and a flower/pollinator border along front fence. Maintained by Washington Square West Civic Association.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,ACTIVE,Y,1,Open when gardeners are present
-75.1796809849726,39.9770451442576,646,Brewerytown Garden,Brewerytown Garden,1341 N 27th St,Philadelphia,PA,19121,Brewerytown.garden@gmail.com,https://www.brewerytowngarden.com, ,Community garden with 78 raised beds and a pollinator garden.,1:00pm - 5:00pm (June-Sept),N/A,N/A,N/A,N/A,N/A,N/A,ACTIVE,Y,5, 
-75.0452528477215,40.020969590198,647,Disston Park Garden,Disston Park,6641 Keystone St,Philadelphia,PA,19135,farmphilly@phila.gov,N/A,Keystone,Community garden with 10 raised beds.,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,ACTIVE,Y,6,Garden is currently being revamped
-75.1463407199525,40.0178529496991,648,Hunting Park Community Garden,Hunting Park,1249 W Hunting Park Ave,Philadelphia,PA,19140,huntingparkgarden@gmail.com,N/A, ,Community garden located in Hunting Park off of West Cayuga Street. The garden has 20 raised beds.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ACTIVE,Y,5,Garden is currently being revamped
-75.1317710698195,40.0441595591751,649,Fisher Park Roots Garden,Fisher Park,648 W Spencer Ave,Philadelphia,PA,19120,olneyrootsgardenoffisherpark@gmail.com,https://www.facebook.com/fisherparkofphiladelphia/,"Fisher Park Community Garden; Roots Community Garden","Community garden with 19 raised beds.
",8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,ACTIVE,Y,9, 
-75.1601324210542,39.9343419445058,650,Capitolo Community Garden,Dr Nicola Capitolo Playground,998 Federal St,Philadelphia,PA,19147,capitologarden@gmail.com,https://www.capitologarden.org/, ,"Community garden with 49 raised beds, fruit trees, and communal herb and flower areas.",8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,ACTIVE,Y,1, 
