X,Y,objectid,tree_name,tree_dbh,year,loc_y,loc_x
-8369286.62738524,4856867.3859829,1,ACER PLATANOIDES - NORWAY MAPLE,13,2024,39.93751456,-75.18257917
-8368484.91003424,4857247.60294763,2,ACER PLATANOIDES - NORWAY MAPLE,16,2024,39.94013336,-75.17537722
-8368573.28327579,4857533.37906856,3,ACER PLATANOIDES - NORWAY MAPLE,11,2024,39.94210162,-75.17617109
-8369018.20752659,4857334.00314431,4,SOPHORA JAPONICA - JAPANESE PAGODA TREE,16,2024,39.94072844,-75.18016791
-8368196.28454208,4857325.20869328,5,OSTRYA VIRGINIANA - EASTERN HOP HORNBEAM,2,2024,39.94066787,-75.17278446
-8368169.44953092,4857418.7633857,6,ACER RUBRUM - RED MAPLE,5,2024,39.94131222,-75.17254339
-8368168.33781041,4857427.81380725,7,ACER RUBRUM - RED MAPLE,7,2024,39.94137455,-75.17253341
-8368090.19332004,4856881.31506274,8,PRUNUS SPECIES - OTHER CHERRY,4,2024,39.9376105,-75.17183142
-8368089.40306772,4856890.04567688,9,PRUNUS SPECIES - OTHER CHERRY,3,2024,39.93767063,-75.17182432
-8368262.77130357,4856933.44536751,10,PRUNUS SPECIES - OTHER CHERRY,4,2024,39.93796956,-75.17338172
-8368259.07923306,4856953.53294857,11,PRUNUS TRILOBA - FLOWERING PLUM,7,2024,39.93810792,-75.17334855
-8368091.28210166,4856797.17498942,12,ZELKOVA SERRATA - JAPANESE ZELKOVA,7,2024,39.93703096,-75.1718412
-8368209.36955073,4857181.61517528,13,ACER TATARICUM - TATARIAN MAPLE,5,2024,39.93967887,-75.172902
-8368181.81941182,4857417.21870554,14,ACER CAMPESTRE - HEDGE MAPLE,2,2024,39.94130158,-75.17265451
-8368178.05699887,4857426.66971814,15,PRUNUS SERRULATA - KWANZAN CHERRY,16,2024,39.94136667,-75.17262072
-8368036.39308756,4857120.87888825,16,MAGNOLIA SPECIES - OTHER MAGNOLIA,3,2024,39.93926054,-75.17134813
-8368176.75405059,4857371.92928499,17,ZELKOVA SERRATA - JAPANESE ZELKOVA,14,2024,39.94098965,-75.17260901
-8368175.4639439,4857381.89423188,18,ZELKOVA SERRATA - JAPANESE ZELKOVA,11,2024,39.94105829,-75.17259742
-8368174.60886626,4857393.52799215,19,ZELKOVA SERRATA - JAPANESE ZELKOVA,14,2024,39.94113841,-75.17258974
-8368283.53855788,4856805.09639442,20,SYRINGA RETICULATA - JAPANESE TREE LILAC,4,2024,39.93708552,-75.17356827
-8368210.58549314,4857242.32816937,21,CERCIS CANADENSIS - EASTERN REDBUD,5,2024,39.94009703,-75.17291292
-8368189.90288978,4857300.9041051,22,PRUNUS SPECIES - OTHER CHERRY,16,2024,39.94050047,-75.17272713
-8367993.58947265,4857469.81561607,23,ACER CAMPESTRE - HEDGE MAPLE,9,2024,39.94166384,-75.17096362
-8367990.37630835,4857481.113305,24,AESCULUS GLABRA - OHIO BUCKEYE,2,2024,39.94174165,-75.17093475
-8367985.09545449,4857515.30343091,25,ACER CAMPESTRE - HEDGE MAPLE,9,2024,39.94197713,-75.17088731
-8367983.06596049,4857527.4252656,26,MALUS SPECIES - OTHER CRABAPPLE,2,2024,39.94206061,-75.17086908
-8367986.18077303,4857508.37553949,27,ACER CAMPESTRE - HEDGE MAPLE,8,2024,39.94192941,-75.17089706
-8367998.31265872,4857370.13105595,28,ACER RUBRUM - RED MAPLE,6,2024,39.94097727,-75.17100604
-8368203.25059162,4857289.53872288,29,PYRUS CALLERYANA - CALLERY PEAR,7,2024,39.94042219,-75.17284703
-8368201.24613346,4857298.38560654,30,PYRUS CALLERYANA - CALLERY PEAR,7,2024,39.94048313,-75.17282903
-8368201.68493338,4857224.47033086,31,PRUNUS SARGENTII - SARGENT CHERRY,2,2024,39.93997403,-75.17283297
-8368023.60663358,4857210.7856519,32,PRUNUS SPECIES - OTHER CHERRY,5,2024,39.93987978,-75.17123326
-8368005.62035634,4857392.18291098,33,PRUNUS SERRULATA - KWANZAN CHERRY,4,2024,39.94112915,-75.17107169
-8368004.66295073,4857397.82340808,34,PRUNUS SERRULATA - KWANZAN CHERRY,7,2024,39.941168,-75.17106309
-8367984.21006557,4857452.82263245,35,GLEDITSIA TRIACANTHOS - HONEYLOCUST,11,2024,39.9415468,-75.17087936
-8368015.96556453,4857258.96770898,36,PLATANUS X ACERIFOLIA - LONDON PLANETREE,37,2024,39.94021163,-75.17116462
-8368010.7694645,4857273.21950396,37,ACER RUBRUM - RED MAPLE,3,2024,39.94030979,-75.17111795
-8368013.63101869,4857285.31219356,38,PLATANUS X ACERIFOLIA - LONDON PLANETREE,30,2024,39.94039308,-75.17114365
-8368009.28355116,4857301.83952403,39,ACER RUBRUM - RED MAPLE,5,2024,39.94050691,-75.1711046
-8368195.41626476,4857260.34299577,40,PRUNUS SPECIES - OTHER CHERRY,8,2024,39.94022111,-75.17277666
-8368048.35953578,4857076.3470673,41,CARPINUS CAROLINIANA - AMERICAN HORNBEAM,4,2024,39.93895382,-75.17145562
-8367972.65507113,4857520.50137206,42,ACER CAMPESTRE - HEDGE MAPLE,11,2024,39.94201293,-75.17077556
-8368018.37673675,4857230.41013568,43,PRUNUS SPECIES - OTHER CHERRY,5,2024,39.94001494,-75.17118628
-8368020.10318949,4857226.38996648,44,ZELKOVA SERRATA - JAPANESE ZELKOVA,6,2024,39.93998725,-75.17120179
-8368170.25868972,4857412.64782615,45,ZELKOVA SERRATA - JAPANESE ZELKOVA,11,2024,39.9412701,-75.17255066
-8368213.3824931,4857155.74985508,46,PRUNUS SPECIES - OTHER CHERRY,9,2024,39.93950072,-75.17293805
-8368165.07403807,4857439.65828629,47,ZELKOVA SERRATA - JAPANESE ZELKOVA,12,2024,39.94145613,-75.17250409
-8367978.73860978,4857479.24176664,48,GLEDITSIA TRIACANTHOS - HONEYLOCUST,10,2024,39.94172876,-75.17083021
-8368154.98524449,4857568.24377523,49,PYRUS CALLERYANA - CALLERY PEAR,7,2024,39.94234174,-75.17241346
-8368229.58635622,4857129.525104,50,MALUS SPECIES - OTHER CRABAPPLE,2,2024,39.93932009,-75.17308361
-8367981.55503673,4857471.71815408,51,GLEDITSIA TRIACANTHOS - HONEYLOCUST,9,2024,39.94167694,-75.17085551
-8368222.08601656,4857175.386135,52,SYRINGA RETICULATA - JAPANESE TREE LILAC,3,2024,39.93963596,-75.17301623
-8368063.70796801,4857042.51026648,53,ACER CAMPESTRE - HEDGE MAPLE,12,2024,39.93872076,-75.1715935
-8368197.67057321,4857249.11433446,54,PRUNUS TRILOBA - FLOWERING PLUM,5,2024,39.94014377,-75.17279691
-8368231.53462657,4857116.35676398,55,ACER TATARICUM - TATARIAN MAPLE,5,2024,39.93922939,-75.17310111
